country,year,co2emissions
Guinea,2029,2015492.2
Guinea,2030,2022964.0
Haiti,2021,2399222.0
Haiti,2022,2413791.8
Haiti,2023,2423614.8
Haiti,2024,2443292.2
Haiti,2025,2444870.2
Haiti,2026,2447468.8
Haiti,2027,2438964.0
Haiti,2028,2338687.2
Haiti,2029,2515614.8
Haiti,2030,2494549.2
Honduras,2021,7631775.5
Honduras,2022,7617301.0
Honduras,2023,7494380.5
Honduras,2024,7717660.0
Honduras,2025,7649951.0
Honduras,2026,7963754.0
Honduras,2027,7703058.5
Honduras,2028,7661713.5
Honduras,2029,7949558.5
Honduras,2030,7683894.5
Hong Kong,2021,41577450.0
Hong Kong,2022,44290172.0
Hong Kong,2023,46568748.0
Hong Kong,2024,45335944.0
Hong Kong,2025,47697732.0
Hong Kong,2026,44837000.0
Hong Kong,2027,45845904.0
Hong Kong,2028,47912508.0
Hong Kong,2029,36661244.0
Hong Kong,2030,44203108.0
Hungary,2021,41896204.0
Hungary,2022,35335700.0
Hungary,2023,33342402.0
Hungary,2024,27661484.0
Hungary,2025,28160402.0
Hungary,2026,24767022.0
Hungary,2027,28737454.0
Hungary,2028,22236262.0
Hungary,2029,30532632.0
Hungary,2030,12316870.0
Iceland,2021,3149558.0
Iceland,2022,3153436.5
Iceland,2023,2953630.8
Iceland,2024,3043216.2
Iceland,2025,2730402.0
Iceland,2026,3175997.8
Iceland,2027,2541648.8
Iceland,2028,4119104.8
Iceland,2029,2690920.0
Iceland,2030,2329700.8
Iraq,2021,185640720.0
Iraq,2022,198617490.0
Iraq,2023,204266450.0
Iraq,2024,206489600.0
Iraq,2025,220599140.0
Iraq,2026,221896910.0
Iraq,2027,214802800.0
Iraq,2028,229881020.0
Iraq,2029,238680660.0
Iraq,2030,239603040.0
Ireland,2021,44120452.0
Ireland,2022,43136870.0
Ireland,2023,40695704.0
Ireland,2024,42088880.0
Ireland,2025,47352484.0
Ireland,2026,48583416.0
Ireland,2027,36243740.0
Ireland,2028,39997824.0
Ireland,2029,44025750.0
Ireland,2030,48905736.0
Israel,2021,78704290.0
Israel,2022,78395260.0
Israel,2023,83462520.0
Israel,2024,83395656.0
Israel,2025,85816750.0
Israel,2026,85607304.0
Israel,2027,74310504.0
Israel,2028,90061260.0
Israel,2029,61962796.0
Israel,2030,89816510.0
Jamaica,2021,8128146.5
Jamaica,2022,8220317.5
Jamaica,2023,8102860.0
Jamaica,2024,8228936.5
Jamaica,2025,8188922.0
Jamaica,2026,8184093.0
Jamaica,2027,8062047.0
Jamaica,2028,8180442.5
Jamaica,2029,8201787.0
Jamaica,2030,8339638.0
Jordan,2021,26796314.0
Jordan,2022,28280786.0
Jordan,2023,28786804.0
Jordan,2024,29543742.0
Jordan,2025,29636332.0
Jordan,2026,31600914.0
Jordan,2027,32410962.0
Jordan,2028,33697124.0
Jordan,2029,31322526.0
Jordan,2030,34511724.0
Kenya,2021,15746849.0
Kenya,2022,16429413.0
Kenya,2023,19666722.0
Kenya,2024,17227770.0
Kenya,2025,18934208.0
Kenya,2026,18441540.0
Kenya,2027,20598080.0
Kenya,2028,14615852.0
Kenya,2029,21750636.0
Kenya,2030,20571026.0
Kuwait,2021,101899060.0
Kuwait,2022,95646776.0
Kuwait,2023,106856150.0
Kuwait,2024,112941700.0
Kuwait,2025,114493510.0
Kuwait,2026,116191590.0
Kuwait,2027,116249420.0
Kuwait,2028,122368150.0
Kuwait,2029,123194160.0
Kuwait,2030,122204040.0
Laos,2021,15889211.0
Laos,2022,15227599.0
Laos,2023,17321914.0
Laos,2024,18956148.0
Laos,2025,21584376.0
Laos,2026,25281760.0
Laos,2027,24325526.0
Laos,2028,20549858.0
Laos,2029,23019408.0
Laos,2030,24958408.0
Lebanon,2021,24889016.0
Lebanon,2022,20835840.0
Lebanon,2023,26027378.0
Lebanon,2024,23874892.0
Lebanon,2025,28557814.0
Lebanon,2026,24091466.0
Lebanon,2027,10536100.0
Lebanon,2028,24164954.0
Lebanon,2029,31249892.0
Lebanon,2030,25507712.0
Liberia,2021,213425.9
Liberia,2022,757048.44
Liberia,2023,872623.6
Liberia,2024,914114.6
Liberia,2025,855335.2
Liberia,2026,944597.5
Liberia,2027,912004.25
Liberia,2028,913341.44
Liberia,2029,979313.8
Liberia,2030,1023111.6
Libya,2021,53869290.0
Libya,2022,52183360.0
Libya,2023,57880624.0
Libya,2024,49255212.0
Libya,2025,55973550.0
Libya,2026,61005388.0
Libya,2027,51525924.0
Libya,2028,59941820.0
Libya,2029,61357336.0
Libya,2030,60758204.0
Luxembourg,2021,9754096.0
Luxembourg,2022,10185369.0
Luxembourg,2023,9990076.0
Luxembourg,2024,9963573.0
Luxembourg,2025,9984195.0
Luxembourg,2026,10070688.0
Luxembourg,2027,10111988.0
Luxembourg,2028,10001058.0
Luxembourg,2029,10231632.0
Luxembourg,2030,10003150.0
Madagascar,2021,3071747.2
Madagascar,2022,3620737.8
Madagascar,2023,3610553.5
Madagascar,2024,3770655.2
Madagascar,2025,3655225.8
Madagascar,2026,3970708.2
Madagascar,2027,3589076.0
Madagascar,2028,2621373.5
Madagascar,2029,4241226.5
Madagascar,2030,3333444.2
Malawi,2021,537774.25
Malawi,2022,572826.44
Malawi,2023,521398.4
Malawi,2024,630496.8
Malawi,2025,656486.5
Malawi,2026,628266.06
Malawi,2027,658419.44
Malawi,2028,608433.1
Malawi,2029,620113.0
Malawi,2030,842508.3
Malaysia,2021,279781600.0
Malaysia,2022,254233650.0
